2021-08-08 00:24:38,852 - crypto_trading_logger - INFO - Starting
2021-08-08 00:24:38,852 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:24:57,976 - crypto_trading_logger - INFO - Starting
2021-08-08 00:24:57,977 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:24:58,113 - crypto_trading_logger - INFO - base time 2021-08-08 00:24:00
2021-08-08 00:26:44,915 - crypto_trading_logger - INFO - Starting
2021-08-08 00:26:44,915 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:27:27,197 - crypto_trading_logger - INFO - now 2021-08-08 00:27:27.197481, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:28,237 - crypto_trading_logger - INFO - now 2021-08-08 00:27:28.237737, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:29,289 - crypto_trading_logger - INFO - now 2021-08-08 00:27:29.289771, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:30,338 - crypto_trading_logger - INFO - now 2021-08-08 00:27:30.338516, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:31,391 - crypto_trading_logger - INFO - now 2021-08-08 00:27:31.391639, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:32,446 - crypto_trading_logger - INFO - now 2021-08-08 00:27:32.446179, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:33,486 - crypto_trading_logger - INFO - now 2021-08-08 00:27:33.486183, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:34,527 - crypto_trading_logger - INFO - now 2021-08-08 00:27:34.527539, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:35,567 - crypto_trading_logger - INFO - now 2021-08-08 00:27:35.567976, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:36,615 - crypto_trading_logger - INFO - now 2021-08-08 00:27:36.615811, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:37,659 - crypto_trading_logger - INFO - now 2021-08-08 00:27:37.659695, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:38,714 - crypto_trading_logger - INFO - now 2021-08-08 00:27:38.714673, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:39,767 - crypto_trading_logger - INFO - now 2021-08-08 00:27:39.767540, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:40,811 - crypto_trading_logger - INFO - now 2021-08-08 00:27:40.811100, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:41,869 - crypto_trading_logger - INFO - now 2021-08-08 00:27:41.869855, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:42,921 - crypto_trading_logger - INFO - now 2021-08-08 00:27:42.921135, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:43,972 - crypto_trading_logger - INFO - now 2021-08-08 00:27:43.972811, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:45,024 - crypto_trading_logger - INFO - now 2021-08-08 00:27:45.024845, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:46,069 - crypto_trading_logger - INFO - now 2021-08-08 00:27:46.069355, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:47,118 - crypto_trading_logger - INFO - now 2021-08-08 00:27:47.118817, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:48,155 - crypto_trading_logger - INFO - now 2021-08-08 00:27:48.155281, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:49,204 - crypto_trading_logger - INFO - now 2021-08-08 00:27:49.204660, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:50,258 - crypto_trading_logger - INFO - now 2021-08-08 00:27:50.258092, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:51,309 - crypto_trading_logger - INFO - now 2021-08-08 00:27:51.309095, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:52,353 - crypto_trading_logger - INFO - now 2021-08-08 00:27:52.353895, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:53,407 - crypto_trading_logger - INFO - now 2021-08-08 00:27:53.407441, tick 2021-08-08 00:27:00, t_price 278.5
